"classification","zone_application","page_ecran","libelle_ihm","nom_variable_metier","table_sql","colonne_sql","fichier_source_emplacement_code","nodeid_opcua","type_donnee","sens_echange","frequence_mode_mise_a_jour","statut","commentaire_technique"
"deja_cablee","Production","/commandes/","Compteur OPC UA / Num caisse","num_caisse_courante","","","app/app/config.py:30-42; app/app/services/command_service.py:12-38; app/app/templates/commands/index.html:31-40; app/app/data/opcua_test_nodes.txt:3","ns=4;s=|var|EAG2.Application.GVL_IHM.IHM_NB_Caisse","hypothese Int/UInt","lecture","chargement de page + auto-refresh 5 s ; 3 tentatives de 8 s","trouve","Seul cablage live deja present dans l'ecran metier ; a ne pas casser."
"nodeid_confirme_non_rattache","Validation OPC UA","/supervision/opcua-test","Voyants caisse 1 a 5","voyant_caisse_1_a_5","","","app/app/data/opcua_test_nodes.txt:4-8; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_IHM.IHM_Voy_Caisse_[1..5]","hypothese Bool","lecture-ecriture potentielle","manuel via page de test","trouve","5 NodeIds confirmes, aucune page metier ne les consomme aujourd'hui."
"nodeid_confirme_non_rattache","Validation OPC UA / Production","/supervision/opcua-test","iNbCaisseIHM","num_caisse_ihm_alias","","","app/app/data/opcua_test_nodes.txt:9; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.G7_PROD.iNbCaisseIHM","hypothese Int","lecture-ecriture potentielle","manuel via page de test","trouve","Alias probable du compteur de caisse ; a departager avec IHM_NB_Caisse et uiCurrentBoxNumber."
"visible_ihm_plus_nodeid","Production","/commandes/, /dashboard/","Quantite cote objectif / progression","quantite_caisses_demandee_commande_courante","Commande; vue_generale_commandes","quantite_caisses_demandee","db/01-schema.sql:32-46,177-205; app/app/templates/dashboard/index.html:84-99; app/app/templates/commands/index.html:95-120; app/app/data/opcua_test_nodes.txt:10","ns=4;s=|var|EAG2.Application.G7_PROD.stCurrentOrder.iCaisseDemande","hypothese Int","lecture","aujourd'hui par BDD ; candidat direct pour lecture live","trouve","Meilleur match fonctionnel 1:1 entre l'IHM et le WAGO."
"visible_ihm_plus_nodeid","Production","/dashboard/, /commandes/, /supervision/","Caisses produites","quantite_caisses_produite_commande_courante","Commande; DataProd; VariableOPCUA","quantite_caisses_produite; caisses_produites; valeur_actuelle","db/01-schema.sql:32-46,136-156; app/app/templates/dashboard/index.html:149-156; app/app/templates/commands/index.html:104-118; db/02-seed.sql:108-114","candidat ns=4;s=|var|EAG2.Application.G7_PROD.stCurrentOrder.iCaisseProduite","hypothese Int","lecture","aujourd'hui par BDD ; candidat live a confirmer","a_confirmer","Conflit avec uiBoxesCompleted et avec le node de demo ns=2;s=Production.BoxesDone."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","uiBoxCount","compteur_boites_global","","","app/app/data/opcua_test_nodes.txt:17; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.uiBoxCount","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Semantique exacte a valider : cumul global ou compteur de lot."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","uiBoxesCompleted","boites_terminees","","","app/app/data/opcua_test_nodes.txt:18; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.uiBoxesCompleted","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Candidat naturel pour quantite_caisses_produite_commande_courante."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","uiCurrentBoxNumber","numero_boite_courante","","","app/app/data/opcua_test_nodes.txt:19; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.uiCurrentBoxNumber","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Recouvre probablement la notion IHM Num caisse."
"visible_sans_nodeid","Production","/dashboard/, /commandes/","Cadence actuelle, Dernieres mesures de production","cadence_caisses_h","DataProd","cadence_caisses_h","app/app/repositories/command_repository.py:27-38; app/app/templates/dashboard/index.html:149-153; app/app/templates/commands/index.html:44-62","","Decimal","lecture","dashboard et commandes auto-refresh 5 s via BDD","manquant","Aucun NodeId direct fourni ; une derivation depuis rCurrentBoxCycle_s est possible mais non specifiee."
"nodeid_confirme_non_rattache","Production","/supervision/opcua-test","rCurrentBoxCycle_s","temps_cycle_caisse_courant_s","","","app/app/data/opcua_test_nodes.txt:20; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.rCurrentBoxCycle_s","hypothese Real","lecture-ecriture potentielle","manuel via page de test","trouve","Valeur instantanee ; ne correspond pas directement au KPI moyen ou max affiche dans l'IHM."
"visible_sans_nodeid","Production","/commandes/","Focus recent, Cycle max","temps_cycle_moyen_et_max_sec","TempsCycle; vue_generale_commandes","duree_cycle_sec; temps_cycle_moyen_sec","app/app/repositories/command_repository.py:41-54; app/app/templates/commands/index.html:65-83","","Decimal","lecture","page load + auto-refresh 5 s","manquant","KPI historises ; aucun NodeId WAGO confirme pour le max."
"visible_sans_nodeid","Production","/dashboard/","Sacs huitres","sacs_huitres_consommes","DataProd","sacs_huitres_consommes","db/01-schema.sql:146-156; app/app/templates/dashboard/index.html:158-161","","Int","lecture","dashboard auto-refresh 5 s via BDD","manquant","Ne pas confondre la consommation affichee avec le stock diStockHuitres."
"visible_sans_nodeid","Production","/dashboard/","Sacs saint jacques","sacs_st_jacques_consommes","DataProd","sacs_st_jacques_consommes","db/01-schema.sql:146-156; app/app/templates/dashboard/index.html:162-165","","Int","lecture","dashboard auto-refresh 5 s via BDD","manquant","Aucun NodeId fourni dans la liste confirmee."
"nodeid_confirme_non_rattache","Logistique","/supervision/opcua-test","diStockCaisses","stock_caisses","","","app/app/data/opcua_test_nodes.txt:21; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.diStockCaisses","hypothese DInt","lecture-ecriture potentielle","manuel via page de test","trouve","NodeId connu sans ecran metier actuel."
"nodeid_confirme_non_rattache","Matiere","/supervision/opcua-test","diStockHuitres","stock_huitres","","","app/app/data/opcua_test_nodes.txt:22; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.diStockHuitres","hypothese DInt","lecture-ecriture potentielle","manuel via page de test","trouve","Utile seulement si un besoin stock apparait dans l'IHM."
"present_en_base_non_reliee","Production / Recette","/supervision/","Recette courante","recette_courante","VariableOPCUA","nom_variable; valeur_actuelle; noeud_opcua","app/app/repositories/supervision_repository.py:74-80; app/app/templates/supervision/index.html:118-147; db/02-seed.sql:108-114","ns=2;s=Recipe.Current","String","lecture","page load via BDD uniquement","a_confirmer","Variable de demo ns=2, absente du fichier WAGO confirme."
"visible_ihm_plus_nodeid","Supervision","/dashboard/, /supervision/","Etat ligne","etat_ligne","LigneProd","etat_ligne","app/app/repositories/dashboard_repository.py:48-56; app/app/repositories/supervision_repository.py:4-12; app/app/templates/dashboard/index.html:10-17; app/app/templates/supervision/index.html:9-15","candidat ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.eMode","hypothese Enum/String","lecture","dashboard 5 s ; supervision page load","a_confirmer","Etat ligne et mode_fonctionnement sont deux notions SQL distinctes ; ne pas les ecraser avec une seule enum brute."
"visible_ihm_plus_nodeid","Supervision","/dashboard/","Mode automatique / manuel","mode_fonctionnement_ligne","LigneProd","mode_fonctionnement","db/01-schema.sql:48-56; app/app/templates/dashboard/index.html:12-17; app/app/data/opcua_test_nodes.txt:13","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.eMode","hypothese Enum","lecture","dashboard auto-refresh 5 s","a_confirmer","Probable meilleur candidat, mais la table de traduction enum OPC UA -> libelle IHM n'existe pas."
"visible_ihm_plus_nodeid","Supervision","/dashboard/, /supervision/","Derniere communication, Connexion OPCUA","derniere_communication_automate","LigneProd; VariableOPCUA","derniere_communication; valeur_actuelle","db/01-schema.sql:48-56,136-144; app/app/templates/dashboard/index.html:19-27; app/app/templates/supervision/index.html:9-15; db/02-seed.sql:113","candidat ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.xHeartbeat","hypothese Bool + timestamp serveur","lecture","dashboard 5 s ; supervision page load","a_confirmer","Le node WAGO donne un heartbeat ; la date affichee doit etre reconstruite cote serveur."
"nodeid_confirme_non_rattache","Supervision","/supervision/opcua-test","eStep","etape_processus","","","app/app/data/opcua_test_nodes.txt:14; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.eStep","hypothese Enum","lecture-ecriture potentielle","manuel via page de test","trouve","Aucun champ SQL actuel ne porte explicitement cette etape."
"visible_ihm_plus_nodeid","Supervision","/supervision/, /supervision/opcua-test","Defaut actif","defaut_actif","projection future Defaut / Alerte","","app/app/templates/supervision/index.html:62-80; app/app/data/opcua_test_nodes.txt:15","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.xDefautActif","hypothese Bool","lecture","aujourd'hui manuel ; cible page load ou event-driven","trouve","Bon candidat pour l'etat courant ; l'historique doit rester dans les tables SQL existantes."
"visible_ihm_plus_nodeid","Supervision","/supervision/, /supervision/opcua-test","Message defaut actif","message_defaut_actif","projection future Defaut / Alerte","description_defaut; message_alerte","app/app/templates/supervision/index.html:62-80; app/app/data/opcua_test_nodes.txt:16","ns=4;s=|var|EAG2.Application.GVL_OPCUA.OPCUA.sDefautMessage","hypothese String","lecture","aujourd'hui manuel ; cible page load ou event-driven","trouve","A historiser si tu veux conserver les evenements passes."
"present_en_base_non_reliee","Supervision","/supervision/","Etat robot","etat_robot","VariableOPCUA","valeur_actuelle; noeud_opcua","app/app/repositories/supervision_repository.py:74-80; app/app/templates/supervision/index.html:118-147; db/02-seed.sql:110","ns=2;s=Robot.Status","String/Enum","lecture","page load via BDD uniquement","a_confirmer","Aucun NodeId WAGO confirme pour remplacer cette variable de demo."
"nodeid_confirme_non_rattache","Robot","/supervision/opcua-test","uiGoEchoCode","robot_go_echo_code","","","app/app/data/opcua_test_nodes.txt:23; app/app/templates/supervision/opcua_test.html:134-205","ns=4;s=|var|EAG2.Application.GVL_Robot.Robot.uiGoEchoCode","hypothese UInt","lecture-ecriture potentielle","manuel via page de test","trouve","Signification a confirmer avec l'automaticien avant toute integration metier."
"visible_sans_nodeid","Supervision technique","/supervision/","CPU","charge_cpu_pct","DataAutom; SeuilAlerte","charge_cpu; valeur_seuil","db/01-schema.sql:107-134; app/app/repositories/supervision_repository.py:15-23,47-53; app/app/templates/supervision/index.html:17-29,85-115,151-177","","Decimal","lecture","page load ; seuil modifiable via POST","manquant","Aucune variable WAGO confirmee dans les sources fournies."
"visible_sans_nodeid","Supervision technique","/supervision/","RAM","ram_utilisee_pct","DataAutom; SeuilAlerte","ram_utilisee; valeur_seuil","db/01-schema.sql:107-134; app/app/repositories/supervision_repository.py:15-23,47-53; app/app/templates/supervision/index.html:17-29,85-115,151-177","","Decimal","lecture","page load ; seuil modifiable via POST","manquant","Aucune variable WAGO confirmee dans les sources fournies."
"visible_sans_nodeid","Supervision technique","/supervision/","Temperature CPU","temperature_cpu_c","DataAutom; SeuilAlerte","temperature_cpu; valeur_seuil","db/01-schema.sql:107-134; app/app/repositories/supervision_repository.py:15-23,47-53; app/app/templates/supervision/index.html:17-29,85-115,151-177","","Decimal","lecture","page load ; seuil modifiable via POST","manquant","Ne pas substituer Cabinet.Temp sans validation fonctionnelle."
"present_en_base_non_reliee","Environnement","/supervision/","Temperature armoire","temperature_armoire_c","VariableOPCUA","valeur_actuelle; noeud_opcua","app/app/repositories/supervision_repository.py:74-80; app/app/templates/supervision/index.html:118-147; db/02-seed.sql:114","ns=2;s=Cabinet.Temp","Decimal","lecture","page load via BDD uniquement","a_confirmer","Variable de demo ns=2, absente des NodeIds WAGO confirmes."
"visible_sans_nodeid","Maintenance","/maintenance/","Cycles, Seuil, Derniere maintenance","etat_cycles_maintenance","Equipement; PlanMaint","nb_cycles; seuil_cycles; date_derniere_maintenance","app/app/repositories/maintenance_repository.py:16-62; app/app/templates/maintenance/index.html:32-64","","Int / Date","lecture","page load","manquant","La liste WAGO fournie ne contient aucun compteur par equipement ; impossible de cabler proprement la maintenance sans nouveaux NodeIds."
"bdd_seulement","Supervision","/supervision/","Seuils techniques","seuils_techniques","SeuilAlerte","indicateur; valeur_seuil; unite; niveau","app/app/repositories/supervision_repository.py:47-53,95-103; app/app/templates/supervision/index.html:151-177","","Decimal / Enum","lecture-ecriture BDD","page load + formulaire POST","trouve","Parametrage purement BDD ; pas de cablage OPC UA direct."
"bdd_seulement","Maintenance","/maintenance/","Nouvelle intervention, Interventions","interventions_maintenance","InterMaint","type_intervention; statut; date_planifiee; date_realisation; commentaire","app/app/repositories/maintenance_repository.py:66-110; app/app/templates/maintenance/index.html:67-141","","String / Date","lecture-ecriture BDD","page load + formulaire POST","trouve","Hors perimetre OPC UA direct."
"hors_perimetre","Administration","/utilisateurs/","Gestion des utilisateurs","utilisateurs_et_roles","Utilisateur; Role","login; nom_complet; email; id_role; actif","app/app/repositories/user_repository.py; app/app/templates/users/index.html","","String / Bool","lecture-ecriture BDD","page load + formulaire POST","trouve","Aucune variable OPC UA candidate detectee sur cette page."
